comission_eur,amount_eur,card_brand_group,traffic_type_group,transaction_comission,country,order_id,created_date,manager_id,merchant_name,gate_id,merchant_id,company_id,company_name,white_label_id,processor_name,processor_id,transaction_type,transaction_status,agent_fee,card_type,tax_reserve_cost,monthly_fee,item_id,records
35.21,3200.74,Visa,Online,0.62,FR,ORD-000001,2024-10-06 02:37:00,MGR-008,Merchant_28,GATE-09,MERCH-028,COMP-01,Company_A,WL-05,Stripe,PROC-05,refund,processing,11.16,virtual,353.59,0.0,ITEM-0029,8
125.03,2950.44,Visa,ATM,0.11,UK,ORD-000002,2024-03-20 06:48:00,MGR-012,Merchant_22,GATE-06,MERCH-022,COMP-02,Company_B,WL-05,PayPal,PROC-01,capture,processing,40.29,credit,308.97,0.0,ITEM-0049,2
119.37,2764.68,Discover,Mobile,1.28,BE,ORD-000003,2024-04-26 09:05:00,MGR-012,Merchant_15,GATE-03,MERCH-015,COMP-02,Company_B,WL-03,PayPal,PROC-02,authorization,completed,43.09,debit,239.43,4.58,ITEM-0069,4
20.78,825.38,Discover,Mobile,1.98,UK,ORD-000004,2024-01-29 07:52:00,MGR-007,Merchant_3,GATE-10,MERCH-003,COMP-06,Company_F,WL-03,Adyen,PROC-04,capture,cancelled,32.0,debit,68.95,0.0,ITEM-0034,3
40.27,1240.67,Visa,Online,0.6,DE,ORD-000005,2024-04-22 04:32:00,MGR-006,Merchant_32,GATE-07,MERCH-032,COMP-02,Company_B,WL-05,Stripe,PROC-04,capture,processing,29.23,virtual,167.09,0.0,ITEM-0068,5
215.74,4855.68,Discover,POS,0.12,BE,ORD-000006,2024-05-16 20:21:00,MGR-001,Merchant_8,GATE-05,MERCH-008,COMP-05,Company_E,WL-05,Adyen,PROC-05,purchase,failed,36.04,debit,496.53,0.0,ITEM-0020,6
120.46,3814.93,Mastercard,Online,1.58,FR,ORD-000007,2024-01-10 03:59:00,MGR-019,Merchant_24,GATE-02,MERCH-024,COMP-05,Company_E,WL-01,Square,PROC-01,void,pending,26.52,debit,0.33,0.0,ITEM-0085,8
78.62,4734.77,Discover,Recurring,1.1,BE,ORD-000008,2024-04-12 22:19:00,MGR-004,Merchant_26,GATE-04,MERCH-026,COMP-06,Company_F,WL-02,Stripe,PROC-03,purchase,processing,30.33,debit,684.91,75.53,ITEM-0076,4
1.76,45.88,Mastercard,Recurring,0.21,DE,ORD-000009,2024-09-20 07:17:00,MGR-019,Merchant_43,GATE-10,MERCH-043,COMP-08,Company_H,WL-04,Adyen,PROC-04,capture,pending,3.37,credit,0.22,0.0,ITEM-0013,7
47.02,1777.94,Mastercard,POS,1.74,FR,ORD-000010,2024-02-01 12:46:00,MGR-018,Merchant_22,GATE-08,MERCH-022,COMP-02,Company_B,WL-02,Square,PROC-02,authorization,cancelled,2.71,debit,174.27,0.0,ITEM-0010,8
178.81,4042.03,Discover,POS,0.29,NL,ORD-000011,2024-02-17 07:10:00,MGR-002,Merchant_27,GATE-03,MERCH-027,COMP-08,Company_H,WL-04,Stripe,PROC-04,authorization,cancelled,32.61,prepaid,327.76,0.0,ITEM-0055,9
97.62,3312.74,UnionPay,Recurring,0.46,DE,ORD-000012,2024-06-09 01:03:00,MGR-002,Merchant_38,GATE-09,MERCH-038,COMP-08,Company_H,WL-01,Adyen,PROC-01,void,completed,10.89,debit,29.06,6.1,ITEM-0052,2
154.38,4708.56,Amex,POS,1.2,ES,ORD-000013,2024-10-16 16:20:00,MGR-013,Merchant_17,GATE-03,MERCH-017,COMP-04,Company_D,WL-03,Square,PROC-03,purchase,completed,1.99,virtual,57.9,0.0,ITEM-0080,10
64.4,4980.52,Amex,Recurring,0.5,CA,ORD-000014,2024-07-08 09:10:00,MGR-001,Merchant_29,GATE-09,MERCH-029,COMP-09,Company_I,WL-03,Stripe,PROC-02,authorization,completed,13.26,credit,697.22,87.93,ITEM-0096,9
16.71,785.69,Amex,Online,0.5,US,ORD-000015,2024-05-08 01:05:00,MGR-011,Merchant_41,GATE-03,MERCH-041,COMP-07,Company_G,WL-03,Adyen,PROC-04,void,cancelled,17.14,credit,81.02,50.54,ITEM-0015,2
177.88,4725.8,Visa,Mobile,0.38,FR,ORD-000016,2024-08-08 04:02:00,MGR-008,Merchant_20,GATE-02,MERCH-020,COMP-06,Company_F,WL-03,Braintree,PROC-04,void,pending,1.8,debit,261.73,0.0,ITEM-0021,3
48.45,4408.27,Discover,Online,1.5,BE,ORD-000017,2024-05-07 08:10:00,MGR-008,Merchant_45,GATE-04,MERCH-045,COMP-02,Company_B,WL-04,PayPal,PROC-03,refund,pending,16.61,credit,615.49,86.41,ITEM-0085,4
42.25,1998.35,Mastercard,Recurring,0.23,ES,ORD-000018,2024-10-01 10:01:00,MGR-002,Merchant_8,GATE-02,MERCH-008,COMP-05,Company_E,WL-05,Square,PROC-03,authorization,cancelled,38.67,credit,105.26,0.0,ITEM-0050,10
11.29,958.49,UnionPay,Mobile,0.93,UK,ORD-000019,2024-04-10 11:27:00,MGR-010,Merchant_5,GATE-09,MERCH-005,COMP-06,Company_F,WL-03,Square,PROC-03,capture,failed,26.0,debit,115.95,0.0,ITEM-0025,7
83.75,3328.0,UnionPay,Recurring,1.52,IT,ORD-000020,2024-01-01 09:18:00,MGR-015,Merchant_14,GATE-08,MERCH-014,COMP-07,Company_G,WL-04,Adyen,PROC-05,capture,pending,8.7,credit,284.1,0.0,ITEM-0037,9
115.53,3322.63,Discover,Recurring,0.28,UK,ORD-000021,2024-04-11 04:01:00,MGR-015,Merchant_3,GATE-07,MERCH-003,COMP-04,Company_D,WL-05,Adyen,PROC-04,capture,cancelled,47.6,debit,117.06,0.0,ITEM-0019,1
198.3,4464.37,Discover,POS,1.78,BE,ORD-000022,2024-08-25 01:35:00,MGR-017,Merchant_16,GATE-09,MERCH-016,COMP-02,Company_B,WL-05,PayPal,PROC-04,void,processing,38.92,virtual,146.55,69.59,ITEM-0071,8
178.34,4487.07,Discover,Online,1.0,ES,ORD-000023,2024-09-23 15:40:00,MGR-008,Merchant_16,GATE-05,MERCH-016,COMP-05,Company_E,WL-03,PayPal,PROC-05,purchase,pending,12.96,debit,166.41,0.0,ITEM-0030,7
132.86,3472.81,Visa,Recurring,0.22,NL,ORD-000024,2024-04-15 13:24:00,MGR-016,Merchant_50,GATE-01,MERCH-050,COMP-10,Company_J,WL-03,PayPal,PROC-04,capture,processing,20.38,debit,282.66,0.0,ITEM-0063,4
40.37,1371.95,UnionPay,Recurring,0.84,US,ORD-000025,2024-03-06 19:34:00,MGR-003,Merchant_2,GATE-07,MERCH-002,COMP-07,Company_G,WL-02,Square,PROC-02,purchase,failed,33.44,virtual,164.25,84.05,ITEM-0042,4
53.56,2278.95,Visa,Mobile,1.77,FR,ORD-000026,2024-02-11 15:01:00,MGR-003,Merchant_48,GATE-01,MERCH-048,COMP-09,Company_I,WL-01,Adyen,PROC-02,purchase,processing,13.91,debit,325.16,0.0,ITEM-0031,3
34.59,2373.07,Visa,Mobile,1.9,AU,ORD-000027,2024-02-28 05:19:00,MGR-013,Merchant_7,GATE-07,MERCH-007,COMP-10,Company_J,WL-02,Stripe,PROC-05,refund,completed,23.25,prepaid,91.21,0.0,ITEM-0088,10
